,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
80,Quantum information science,0.5,0.5,1.0,1.0,0.01,0.05,0.217,0.466,0.2,0.1,0.067,0.05,0.04,0.033,0.029,0.025,0.022,0.02,0.6,0.6,0.467,0.45,0.48,0.467,0.429,0.4,0.4,0.4
81,Color quantization,0.143,0.143,0.5,0.5,0.006,0.014,0.044,0.112,0.0,0.1,0.067,0.05,0.04,0.067,0.057,0.075,0.067,0.06,0.2,0.3,0.2,0.2,0.16,0.233,0.2,0.2,0.178,0.16
82,social web,0.5,0.5,1.0,1.0,0.012,0.05,0.37,0.556,0.2,0.1,0.067,0.1,0.08,0.067,0.057,0.05,0.044,0.04,0.6,0.7,0.667,0.65,0.64,0.6,0.571,0.5,0.556,0.56
83,entity linking,0.5,0.5,0.5,0.5,0.014,0.05,0.016,0.05,0.2,0.1,0.067,0.1,0.08,0.067,0.057,0.075,0.067,0.06,0.2,0.1,0.067,0.1,0.08,0.067,0.057,0.075,0.067,0.08
84,information privacy,1.0,1.0,1.0,1.0,0.155,0.483,0.155,0.483,0.8,0.5,0.4,0.35,0.36,0.333,0.286,0.275,0.267,0.26,0.8,0.5,0.4,0.35,0.36,0.333,0.286,0.275,0.267,0.26
85,random forest,1.0,1.0,1.0,1.0,0.116,0.38,0.116,0.38,0.8,0.4,0.333,0.3,0.24,0.267,0.257,0.25,0.222,0.22,0.8,0.4,0.333,0.3,0.24,0.267,0.257,0.25,0.222,0.22
86,cloud computing,0.5,0.5,0.5,0.5,0.073,0.266,0.073,0.266,0.6,0.5,0.4,0.3,0.24,0.2,0.2,0.175,0.178,0.18,0.6,0.5,0.4,0.3,0.24,0.2,0.2,0.175,0.178,0.18
87,Knapsack problem,0.167,0.167,0.167,0.167,0.003,0.017,0.003,0.017,0.0,0.1,0.067,0.05,0.04,0.033,0.029,0.025,0.022,0.02,0.0,0.1,0.067,0.05,0.04,0.033,0.029,0.025,0.022,0.02
88,Linear algebra,0.5,0.5,1.0,1.0,0.081,0.199,0.583,0.835,0.4,0.4,0.4,0.3,0.28,0.233,0.2,0.225,0.222,0.22,0.8,0.9,0.867,0.8,0.76,0.733,0.714,0.725,0.711,0.72
89,batch processing,0.111,0.111,0.111,0.111,0.007,0.011,0.007,0.011,0.0,0.1,0.067,0.05,0.08,0.067,0.057,0.05,0.067,0.08,0.0,0.1,0.067,0.05,0.08,0.067,0.057,0.05,0.067,0.08
90,rule induction,0.0,0.0,0.125,0.125,0.0,0.0,0.002,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.067,0.05,0.04,0.033,0.029,0.025,0.022,0.02
91,Uncertainty quantification,0.034,0.0,1.0,1.0,0.001,0.0,0.184,0.477,0.0,0.0,0.0,0.0,0.0,0.033,0.029,0.025,0.022,0.02,0.8,0.6,0.467,0.4,0.36,0.367,0.371,0.375,0.356,0.34
92,Computer architecture,0.5,0.5,1.0,1.0,0.147,0.346,0.815,0.852,0.6,0.6,0.4,0.4,0.36,0.4,0.371,0.35,0.311,0.32,1.0,0.9,0.867,0.9,0.92,0.9,0.886,0.9,0.889,0.9
93,Best-first search,0.111,0.111,0.111,0.111,0.004,0.011,0.004,0.011,0.0,0.1,0.067,0.05,0.04,0.067,0.057,0.05,0.044,0.04,0.0,0.1,0.067,0.05,0.04,0.067,0.057,0.05,0.044,0.04
94,Gaussian random field,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.2,0.25,0.32,0.267,0.286,0.25,0.244,0.24
95,Support vector machine,1.0,1.0,1.0,1.0,0.535,0.7,0.535,0.7,1.0,0.7,0.733,0.7,0.68,0.7,0.686,0.725,0.689,0.7,1.0,0.7,0.733,0.7,0.68,0.7,0.686,0.725,0.689,0.7
96,ontology language,0.0,0.0,0.5,0.5,0.0,0.0,0.095,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.4,0.4,0.32,0.267,0.257,0.25,0.267,0.24
97,machine translation,0.091,0.0,1.0,1.0,0.012,0.0,0.658,0.631,0.0,0.0,0.2,0.15,0.12,0.1,0.114,0.1,0.089,0.08,0.6,0.8,0.733,0.75,0.8,0.833,0.829,0.8,0.822,0.82
98,middleware,1.0,1.0,1.0,1.0,0.038,0.1,0.046,0.1,0.2,0.1,0.2,0.25,0.2,0.167,0.143,0.125,0.111,0.1,0.2,0.1,0.267,0.3,0.24,0.2,0.171,0.15,0.133,0.12
99,Newton's method,0.031,0.0,0.031,0.0,0.003,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.075,0.067,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.075,0.067,0.06
