,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
43,Evolutionary algorithm,1.0,1.0,1.0,1.0,0.443,1.0,0.844,1.0,1.0,1.0,0.733,0.7,0.68,0.733,0.686,0.625,0.578,0.54,1.0,1.0,0.933,0.95,0.88,0.9,0.914,0.9,0.911,0.9
44,web search query,0.023,0.0,1.0,1.0,0.0,0.0,0.904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.02,1.0,1.0,1.0,0.9,0.92,0.933,0.943,0.95,0.956,0.94
45,eye tracking,1.0,1.0,1.0,1.0,0.577,0.89,0.8,0.89,1.0,0.9,0.867,0.75,0.76,0.733,0.743,0.7,0.689,0.7,1.0,0.9,0.933,0.9,0.92,0.867,0.886,0.85,0.867,0.88
46,query optimization,1.0,1.0,1.0,1.0,0.314,0.511,0.74,1.0,0.8,0.6,0.533,0.55,0.48,0.5,0.571,0.575,0.556,0.5,1.0,1.0,0.933,0.95,0.88,0.867,0.886,0.875,0.844,0.8
47,logic programming,1.0,1.0,1.0,1.0,0.699,1.0,0.886,1.0,1.0,1.0,0.933,0.9,0.88,0.833,0.8,0.8,0.8,0.78,1.0,1.0,1.0,0.95,0.96,0.967,0.943,0.925,0.911,0.92
48,Hyperspectral imaging,0.5,0.5,0.5,0.5,0.283,0.441,0.283,0.441,0.8,0.6,0.6,0.65,0.64,0.567,0.514,0.45,0.467,0.46,0.8,0.6,0.6,0.65,0.64,0.567,0.514,0.45,0.467,0.46
49,Bayesian statistics,1.0,1.0,1.0,1.0,0.15,0.24,0.95,1.0,0.4,0.4,0.267,0.35,0.32,0.433,0.371,0.35,0.378,0.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.956,0.96
50,kernel density estimation,0.5,0.5,1.0,1.0,0.218,0.293,0.557,0.768,0.6,0.5,0.6,0.65,0.52,0.5,0.457,0.425,0.378,0.4,1.0,0.8,0.867,0.85,0.88,0.833,0.743,0.7,0.667,0.66
51,learning to rank,1.0,1.0,1.0,1.0,0.363,0.442,0.363,0.442,0.6,0.6,0.6,0.7,0.64,0.6,0.571,0.6,0.6,0.56,0.6,0.6,0.6,0.7,0.64,0.6,0.571,0.6,0.6,0.56
52,relational database,1.0,1.0,1.0,1.0,0.838,1.0,0.955,1.0,1.0,1.0,1.0,1.0,0.96,0.9,0.914,0.875,0.889,0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.978,0.96
53,activity recognition,0.091,0.0,0.091,0.0,0.021,0.0,0.021,0.0,0.0,0.0,0.133,0.1,0.16,0.133,0.171,0.175,0.156,0.14,0.0,0.0,0.133,0.1,0.16,0.133,0.171,0.175,0.156,0.14
54,wearable computer,1.0,1.0,1.0,1.0,0.367,0.737,0.367,0.737,0.8,0.8,0.8,0.7,0.68,0.633,0.571,0.525,0.511,0.48,0.8,0.8,0.8,0.7,0.68,0.633,0.571,0.525,0.511,0.48
