author_name,n_pub
Jennifer M. Yentes,0
Alexandros Kalousis,37
Dario D. Salvucci,31
Shokoofeh Pourmehr,4
Odalric-Ambrym Maillard,23
Denis Le Bihan,0
Benoît Crabbé,9
A. Jefferson Offutt,33
Nataliya Shapovalova,0
Tomohiro Mitsumori,3
John William Charnley,0
Dirk Weissenborn,0
Irene Cantone,0
Mustafa Ayazoglu,0
Ilia Lotosh,2
Thierry Moyaux,10
Zohreh Sanaei,0
Alexander Ivanovich Aptekarev,0
Adrian Broadhurst,0
Fredrik Lindsten,13
Tim Pohle,17
Daniele Riboni,45
Erik Ordentlich,35
Elena Zheleva,21
Stamatios N. Sotiropoulos,0
Tushar Khot,23
Anja L. Dorrn,0
Jacques Feldmar,0
Gianluca Stringhini,66
Yvan Saeys,33
Adel Javanmard,16
Marc Denecker,97
María Dolores Pérez-Godoy,16
Adrian Dobra,8
Jérôme Dedecker,0
Andrea Schaerf,65
Miguel A. Fortuna,0
Simina M. Boca,0
Philipp Schwartenbeck,0
Luis Montesano,14
Nelly Pustelnik,0
Oded Regev,87
Soeren S. Lienkamp,0
Roland Thiollière,0
Daren C. Brabham,0
Alexa Riehle,0
Kevin McGoff,0
Walter Wohlkinger,0
Björn Wittenmark,0
Rodrigue Oeuvray,0
Pablo Gervás,66
Roger S. Pressman,0
Francesc Esteva,0
Petr Svestka,0
Maria P. Bambo,0
Andrew Kae,7
Reija Autio,0
Balaji Lakshminarayanan,10
Somayeh Sojoudi,13
Duygu Kuzum,0
Olivier Commowick,0
Katrin Honauer,0
Anna Karahaliou,0
Deniz Erdogmus,103
Pinar Muyan-Ozcelik,0
Tal El-Hay,7
Jonathan R. Wolpaw,4
Umer Farooq,37
Martin Byröd,0
S. Helena Taivainen,0
Omar Mehanna,0
Clementine Nyirarugira,0
Ezequiel López-Rubio,0
Antonín Kučera,84
Giorgio Metta,34
Stéphane M. Meystre,8
Josep M. Gonfaus,0
Nut Limsopatham,18
Michelle Yik,0
Haim Brezis,0
Sevan G. Ficici,18
Carlos E. Vargas-Irwin,0
Subrahmanyam Murala,14
Michele Cossalter,0
Takayuki Okatani,34
Sergey Melnik,40
Claudiu Raicu,0
Arthur C. Sanderson,28
Harry Groenevelt,0
Stefan Leijnen,1
Ilias Bilionis,0
Maurizio Zazzi,7
Frank Y. Shih,62
Mathias Beiglböck,0
Michele Starnini,0
Thomas Vogelsang,2
Bahadir Karasulu,0
Alessio Moneta,0
Sebastian Risi,56
Walid M. Abdelmoula,0
Peter L. Bartlett,121
Lars Bretzner,14
Christopher S. Henshilwood,0
Silvio Ghilardi,42
Lisa F. Rau,1
Karl Pichotta,0
Mahesh K. Varanasi,0
Marco Cornolti,6
Andrea Lancichinetti,1
Brendan McCane,29
Michael Montemerlo,14
Willem Robert van Hage,30
Martin Treiber,19
Miroslav N. Velev,44
Balazs Kozma,0
Nis Hjortskov,0
Venu Satuluri,11
Thomas Abeel,8
Bernd Bullnheimer,0
Mayuresh V. Kothare,12
Przemysław Wojtaszczyk,0
Sylvain Saïghi,0
Marco Santello,0
Fredrik Ronquist,0
Javier Ruiz-del-Solar,0
Daniel Marcu,70
Christoph Bernau,0
Petr Felkel,5
Olivier Catoni,0
Steffen Smolka,6
Helen Couclelis,0
Ayelet Dominitz,0
Tomas Axling,0
Daniel C. Koboldt,0
Juri Luca De Coi,16
Silvia Bonettini,0
Nicole K. Speer,0
Filip Ginter,16
Igor S. Pandžić,54
Tomasz Jurczyk,1
Josep Sardanyés,0
Geir Evensen,0
Csaba Kelemen,0
Ali Shahrokni,17
Ariane Herbulot,11
Mohammad Adibuzzaman,10
Avinash Dixit,0
Ronen Talmon,3
Pedro Galeano,0
Robert E. Bechhofer,2
Robert S. Zucker,0
Dominic W. Massaro,17
Thomas Bashford-Rogers,24
Mikkel Thorup,177
Kerstin Dächert,0
Heikki Topi,82
Wolfgang Förstner,0
Vincent Miele,0
Giovanni Pellacani,0
Richard Courant,0
Aris Daniilidis,0
Simon Dooms,15
Vanessa Murdock,49
Koji Tsuda,38
Robin Pemantle,0
Marianna Obrist,102
Goran Topić,9
E. Mazor,0
Meliha Yetisgen-Yildiz,14
Dmitry Datsenko,0
W. Lukosz,0
Yulia Golland,0
Hakim Weatherspoon,65
Klaus H. Maier-Hein,0
Martin L. Hazelton,0
Khairil Imran Ghauth,1
Carsten F. Dormann,0
Toni Giorgino,0
Raymond W. Ptucha,0
Faysal Boughorbel,0
Daniel Gottesman,20
Teemu Kivioja,0
Lokendra Shastri,22
Elie Bienenstock,13
Bart Krekelberg,0
Eric R. Kandel,0
Okito Yamashita,0
Andrew Whiten,0
Gilles Pisier,2
Bijan Parsia,90
David Titterton,0
Matthew S. Caywood,0
Mehreen Adhi,0
Shahab Tasharrofi,0
Zeyuan Allen-Zhu,33
Payman Yadollahpour,0
Walaa Medhat,0
Stephen Milborrow,0
Jeroen G. W. Raaijmakers,0
Alon Faktor,0
Roberto Brunelli,25
Carolyn J. Crouch,23
Abhinav Valada,6
Rasmus Pagh,85
David J. Wales,0
Yaniv Bernstein,9
Dana Lahat,0
Alain Crouzil,11
Gerd Ronning,0
Ben Glocker,0
Helena De Preester,0
James W. Tanaka,0
Marie Chupin,0
Ali Gannoun,0
Pavel Kroupa,0
Adas Gelzinis,0
Nikolaos V. Sahinidis,38
Josep Malvehy,0
John Quackenbush,1
Michael S. Zhdanov,6
Paul Slovic,4
Gil Kalai,32
James M. Sabatier,0
Francisco J. Valverde-Albacete,17
Rudolf Arnheim,0
Chris Adami,29
Adam R. Aron,0
Roummel F. Marcia,18
Lotfi Lakhal,38
Emmanouil Froudarakis,0
Eduardo Cotilla-Sanchez,8
Khuloud Jaqaman,0
Sylvie Szulman,0
Mortaza Jamshidian,0
Duncan A. Buell,31
Cäcilia Zirn,0
Richard W. Brislin,0
Reut Tsarfaty,13
Arne Barinka,0
Teresa Alsinet,25
Manabu Ichino,0
S.P. Hirshman,0
Leszek Gasieniec,130
Frank Neven,101
Oxana Ye. Rodionova,0
Punam K. Saha,0
Laura M. Heiser,0
Andrea Puglisi,0
Ch. Yèche,0
Uwe Waldmann,0
Gordon K. Smyth,0
Enrico Giusti,0
Vamsi K. Potluru,0
Abel Gonzalez-Garcia,4
Ian Affleck,0
Lauren B. Resnick,2
Jeff S. Shamma,40
Maruan Al-Shedivat,8
Hajo Holzmann,0
Nelson J. Trujillo-Barreto,0
Malcolm James Beynon,0
Stephen J. Sheinkopf,0
Anne Sabourin,0
Georg Gottlob,299
Feliks Nüske,0
Mieczyslaw M. Kokar,42
Grégoire Nicolis,0
Paul Boersma,4
Photini Kiepiela,0
Edvard I. Moser,0
Yossi Matias,106
Robert E. Broadhurst,0
Sheldon L. Messinger,0
Brian Hilligoss,3
Thomas Bonfort,0
Frank Schilder,23
Raúl Martín-Félez,0
Christopher R. Cabanski,0
Ravi B. Boppana,21
Edward R. Tufte,0
Markus Svensén,0
Brian Dalessandro,10
Kshitij Khare,0
Adriano M. Garsia,0
Felicity Hasson,0
Kim D. Pruitt,0
Alexandros Iosifidis,0
Urban Johanson,0
Acar Tamersoy,14
Denis Nekipelov,8
James J. Heckman,0
Brian R. Glasberg,0
Shumeet Baluja,53
Gaurav Tandon,5
Cédric Herzet,0
Georg Heinze,0
Carmen Vidaurre,0
Jure Leskovec,164
Brian P. Clarkson,0
Roberto Marmo,0
Alexandre Aussem,0
Oliver B. Downs,0
Nathalie Henry Riche,42
Euhanna Ghadimi,9
Xavier Baró,34
Behrouz Touri,6
A. John Camm,0
Pashootan Vaezipoor,0
Michal Sofka,0
Steven M. Shugan,0
Naoki Nariai,0
Simon Lucey,34
Nicholas D. Socci,0
William Pettersson-Yeo,0
Christian Berthomier,0
Yoah Bar-David,1
Ian M. Bullock,0
Marco Gerlinger,0
Andrew Ortony,12
Horatio Boedihardjo,0
R. Mark Henkelman,0
Michael J. McGeachie,0
Kenneth Hullett,8
Mattias Wahde,12
Gábor Tardos,86
Katy Wolstencroft,21
Piotr Bojanowski,0
Hamdi Dibeklioglu,20
Jørgen Christensen-Dalsgaard,0
Barbara Drossel,0
Philip X. Joris,0
Robert A. Legenstein,0
David Cossock,0
Artus Krohn-Grimberghe,6
William Fulton,0
Daniel M. Dunlavy,6
Oliver M. Duschka,7
Shang Mingsheng,18
Willem Waegeman,30
Bijan Afsari,0
Steffen Unkel,0
David Tolpin,14
Ilya Shmulevich,0
Paul W. Fieguth,0
Richard C. Dubes,0
Peter W. O'Hearn,81
Hannah Bast,52
Eva Zangerle,22
Ali Ghodsi,55
Jerome H. Barkow,0
Andreas Junghanns,0
Nikos Mamoulis,172
Sebastian Schaffert,5
John F. Horty,27
Norbert Schuch,0
Pierpaolo Battigalli,1
Quentin S. Hanley,0
Ken A. Dill,4
Yukiyasu Kamitani,8
Kimberly F. Sellers,0
Krzysztof Dembczyński,45
Fabian Mörchen,11
Pranas Zunde,0
Anton Kühberger,0
Florent Nicart,11
Lucas P. J. J. Noldus,8
Nicolas Grevesse,0
Michel Regenwetter,0
Soude Fazeli,4
Son Lam Phung,0
Christian Körner,18
Sina Jahanbin,0
Sebastian Nowozin,44
Sofia C. Olhede,0
Daniel R. Dooly,8
Arif Jinha,0
Othon Michail,27
Olutobi Owoputi,0
James Newling,0
Jaap C. Reijneveld,0
Nadia Soleman,0
Christopher M. Hirata,0
Martin Toeltsch,0
Assaf Zomet,0
Marco Tomassini,102
Jean-Marc Montanier,8
William S. Hlavacek,12
Angela Eigenstetter,0
Ramzi Ben Larbi,0
Franz J. Király,10
Maria Faurholt-Jepsen,10
Rüdiger W. Brause,0
Mikalai Tsytsarau,10
Jose Luis Silvan-Cardenas,0
Raphaël Féraud,18
Ivan A. Sag,4
Jelena Ignjatović,0
Guray Erus,0
Peter Klibanoff,0
Sven Bambach,5
Serafim Opricovic,0
Martin Dierolf,0
Robert A. Gonsalves,0
Thomas Gärtner,35
Luc De Raedt,206
Olivier Duchenne,0
Masamichi Shimosaka,35
Sebastian Stober,21
Duygu Balcan,0
Alessandro Margara,39
Einat Minkov,26
Gianni Dal Maso,0
P. Abrial,0
Markus C. Knauer,0
Thorsten Thadewald,0
Jonathan W. Mink,0
Christian Rutz,0
Camilo Dagum,0
Hans G. Feichtinger,0
Roger J. Kreuz,4
Gershon Buchsbaum,0
Daniel H. Leventhal,5
Marius Pasca,54
Ilke Öztekin,0
Bamshad Mobasher,126
Krishna Kiran Mukkavilli,0
Jae Kyu Suhr,0
John Moult,7
Thierry Ranchin,0
Stephen Karpinskyj,0
Matthew Rabin,0
Swapna Buccapatnam,8
Kristiina Jokinen,44
George Athanasopoulos,0
Tove Faber Frandsen,16
Frédéric Courteille,0
Pierre Duchesne,0
Michael Woodroofe,0
Shohei Hido,11
Stephen J. Kish,0
Claudia Czado,0
E. J. Hannan,1
Uwe Jandt,0
Jens-Rainer Ohm,18
Gilad J. Kuperman,0
Yuji Nakatsukasa,16
Philippe Pinel,8
Antonio Iovanella,0
Elizabeth L. Murnane,42
Wouter Kool,0
Benjamin W. Tatler,0
Tomasz Kusmierczyk,8
Juho Kokkala,0
Valerio Bertone,0
Ulrich Essmann,0
Ben Langmead,1
Mohammad Golbabaee,6
Mark Briers,4
Yakir Aharonov,0
Jennifer Dolson,6
Mohammad Ghavamzadeh,66
Takahiko Kusakabe,0
Patrick Rubin-Delanchy,0
Nikos G. Tsagarakis,0
Misha Denil,12
Dervis Karaboga,0
Shervin Ardeshir,0
Andreas Christmann,17
Michael H. Birnbaum,0
Bin Dong,18
Christian Thiffault,0
Richard Bonneau,1
Peter W. Frey,0
Agustin Ifarraguerri,0
Ricardo Beira,0
Vera Hofer,0
Michael Gamon,36
George Mandler,0
Ramon López de Mántaras,47
Philippe Poggi,0
Alaa Saade,0
Sharon Rose Clay,2
Garrett Warnell,10
Anke Lüdeling,4
Oliver Schulte,41
Hilan Bensusan,0
Salah Sukkarieh,0
Michael N. Huhns,134
Dmitrii O. Logofet,0
Richard H. MacNeal,0
Germund Hesslow,0
Karthik Dinakar,10
Philipp Hennig,24
Yoram Bresler,0
Bernhard Hollunder,16
Ondrej Jamriska,0
Catherine A. Calder,0
Mohamed Maamouri,3
D. Mortlock,0
Zorana Jančić,0
V. V. Anshelevich,0
Jan Hasenauer,0
Neil T. Clancy,0
Martin Stemmler,0
Sotiris Diplaris,10
Charles J. Alpert,97
Matthias Bethge,25
R. A. Fisher,0
Tal Hassner,30
Ioan Alexandru Sucan,0
Luke K. McDowell,18
Dennis Spohr,5
Jörg Tiedemann,29
Ferhan Türe,20
Serge Gaspers,80
Rafael E. Banchs,44
Christian Wojek,0
Jarkko Salojärvi,7
Nate Hagbi,12
Shlomo Hoory,0
Karen H. L. Tso,1
Ville Tolvanen,2
Symeon Chouvardas,0
Paolo Carnevali,0
Cindy Gallois,1
Frantisek Grezl,0
Stergios Christodoulidis,3
Beñat Zapirain,4
Arthur W. Mahoney,4
Boris Podobnik,0
Faruck Morcos,6
Borja Vázquez-Barreiros,0
Vinayak R. Borkar,30
Stephan Waldert,0
Xavier Marichal,6
Anouk G.W. van Norden,0
Nicodemos Damianou,0
Michael C. Schatz,7
Gaël Chételat,0
Claudia Peersman,7
Yair Neuman,19
Taylor Berg-Kirkpatrick,15
Hein Putter,0
Nicola Di Mauro,45
Anatoly Klypin,0
Anton Sirota,0
Fabrice Heitz,0
Gabriel Peyré,56
Anastasios Tombros,42
Mohammadali Khosravifard,0
Alexander Korostelev,0
Coen Bernaards,0
Timothy Ragan,0
Sylvia Ratnasamy,93
John C. Mazziotta,1
Zoltan-Csaba Marton,0
Davide Conigliaro,0
Robert Remus,0
Jagannadan Varadarajan,17
Abdelhak M. Zoubir,62
Christian Vollmar,0
Michael Gygli,9
Guillaume Rabusseau,6
Karl von Frisch,0
Paul Damien,8
David Peleg,333
Alberto M. Biancardi,0
Michel Benaïm,0
Noam Nisan,156
Keith Devlin,8
Sebastian Zöllner,0
Carl W. Helstrom,0
Jouni Luukkainen,0
Christian Richardt,31
Maurizio Falcone,0
Sophie Achard,0
Aleksandar Chakarov,10
Thom W. Frühwirth,46
Bruce G. Trigger,0
Stephen J. Maybank,119
Greg Ridgeway,9
Sabry Razick,0
Justyna Jozefczuk,0
Dedre Gentner,1
Brendan Lucier,73
Thomas Flury,0
James T. Dobbins,0
Nihat Ay,15
Stavros Vassos,24
Christian Cumbaa,2
Andreas Veit,9
J. Craig Venter,1
Robert M. MacCallum,4
Bertrand Thirion,56
David Crystal,0
Alexandre Bouchard-Côté,18
Amarnag Subramanya,12
Keith H. Chiappa,0
Julien Tierny,27
Lars Buitinck,4
Mohammad Azzeh,20
