author_name,n_pub
Nalini K. Ratha,58
Prashanth Mannem,9
Robert H. Shumway,0
Yedid Hoshen,0
Roy W. Tromble,5
David H. Brainard,5
Mor Naaman,85
John Dickhaut,0
Ceyhun Burak Akgül,12
Daniel Erro,11
Dieter Devlaminck,0
Ross Ihaka,1
Radu Stefan Niculescu,10
Ka Cheung Sia,6
Jonathan Tapson,10
Raymond C. Kurzweil,0
Chris Lattner,12
Samuel Kaski,143
David F. Dinges,0
Jérôme Berclaz,0
Daniel Preoţiuc-Pietro,10
Codruta Orniana Ancuti,10
Ruth Rosenholtz,17
Anastasios Zouzias,12
J. Assfalg,24
Jonathan M. Borwein,89
Jason Zutty,6
Dániel Kondor,1
Michael Gribskov,9
Leah S. Larkey,10
Oren Boiman,0
Pietro Ducange,0
Piotr Borzymek,0
Jason A. Fuemmeler,5
Martin Kaltenbrunner,19
Mortaza Doulaty,3
Shahriyar Matloub,0
Corrado Loglisci,30
Yves Deville,68
Anastasia Moumtzidou,16
J. Scott Penberthy,0
Benjamin Zapilko,15
Milos Krstajic,0
Othalia Larue,8
Karim S. Kassam,0
AbdelRahim A. Elmadany,2
Jerome R. Busemeyer,20
Can Ceritoglu,0
Yanir Seroussi,7
Duy Nguyen-Tuong,11
Kirill Dyagilev,5
Maryam Ziaeefard,0
Jalal Mahmud,55
Nikola Banovic,26
Elena Stringa,0
Amalia F. Foka,2
David Bonnafous,0
Élodie Choquet,0
Tim Baarslag,31
Ulrik Brandes,90
Marco Callieri,31
Stefan Kombrink,0
Michael Bauland,10
Hermann Minkowski,0
Ioannis Korkontzelos,17
Gerhard Wäscher,0
Ana Alvarez-Requejo,0
Rehan Akbani,8
Rok Gajšek,0
Aaron Jaech,2
Hazem Elmeleegy,20
Edward J. Bedrick,0
Arlind Kopliku,7
Maria Fernanda Caropreso,6
Stefan Schwendimann,0
Eric Jacquet-Lagrèze,0
Bruno Courcelle,83
Robert Dürichen,5
Arno J. Knobbe,37
Julio Fernandez-Mendoza,0
Wojciech Matusik,177
Peter Carbonetto,6
Carlos López-Martínez,0
Amir Aavani,0
Luca Pulina,37
Nizar Zaghden,2
Karthik Lakshmanan,26
Dirk Loeckx,0
Paul C. Leopardi,0
Petra Geutner,0
Frédéric Abrard,0
Sabri Boutemedjet,0
Ozgur Kisi,0
Sergio Barbarossa,0
Laura Dabbish,85
Alan D. Sokal,0
Leandro L. Minku,51
Rémi Barland,0
Sally Bamford,0
Saher Esmeir,13
Martin A. Giese,56
Olivier Lhomme,0
Igor V. Cadez,11
Lars Bo Jeppesen,0
E.A.B. Over,0
Johannes Bjerva,1
Yuji Iwahori,59
Ulrich Weidenbacher,4
Herbert Ramoser,0
Jesia Zakraoui,0
Matthew T. Weirauch,0
Sugama Chicklore,0
Jeffrey K. MacKie-Mason,24
Virginia Ruiz-Albacete,0
George M. Whitesides,0
Braxton Osting,6
Axel T. Brunger,0
Daniel M. Greenberger,0
Rodrigo de Oliveira Plotze,0
Ljiljana Platisa,0
Klaus Pfurtscheller,0
Zoltán Kövecses,0
Stamatia Giannarou,0
Elaine Walster,0
Deanna Needell,4
Peter M. Bentler,0
Varun Jampani,3
John T. Schousboe,0
Ioannis S. Gousias,0
Felix Salfner,22
Radomír Měch,36
Bart P. Knijnenburg,59
A. E. Eiben,118
Lenhart K. Schubert,77
Amel Ksibi,0
Eric Sven Ristad,22
Nabil Ouerhani,12
William A. Freije,0
Volker B. Deecke,0
Paul Valiant,24
Thomas Schandl,0
Vinay K. Chippa,7
Nicolas Sidère,8
Nodira Khoussainova,14
Jaysonne A. Pacurib,0
Sharmin Nilufar,8
Iman Kamehkhosh,7
Gérard G. Emch,0
Ákos Utasi,8
Omar Al-Kofahi,0
Enea Cippitelli,2
Robert R. Sokal,0
Yehoshua Perl,83
Manfred Hendlich,0
Octavian Catrina,9
Ertugrul M. Ozbudak,0
Robert Schöpflin,0
Christopher R. Fetsch,0
I. I. Baskin,7
A.G. Ulsoy,0
Andrea Romei,0
Liana M. Lorigo,0
Alireza Rezvanian,0
Dean Wyatte,0
Heydar Maboudi Afkham,0
Oliver Demetz,0
Sara Johansson Fernstad,0
Zeljko Agic,0
Ioannis Karydis,18
Nicholas Diakopoulos,45
Sintija Petrovica,5
Roman Kontchakov,46
Arkadiusz Stopczynski,6
Lex Schaul,0
Samu Taulu,0
Yuichi Asahiro,34
Zachary C. Lipton,16
Virginia Klema,4
Ruth Ben-Yashar,0
Abdessamad Echihabi,5
Brian E. Brewington,6
Cristian Cadar,55
Jürgen Schlegelmilch,3
Evgeny Lomonosov,0
Sergey M. Plis,0
Pascal Paysan,0
Rasmus Bro,0
Harald Hammarström,8
Emanuel A. Schegloff,1
Deborah K. Barreau,0
Thomas Neumuth,11
Paul M. Bays,0
Giorgio Fumera,53
Andrea Pietracaprina,59
Jane Hillston,116
Paul F. Velleman,0
B. Hastie,0
Sarah T. Boysen,0
Carl G. Looney,0
Rasmus Kyng,9
Ljupčo Todorovski,24
Eduardo Jaques Spinosa,0
Negar Soheili,0
Giuseppe Ateniese,61
Maria Giatsoglou,6
Paolo Cremonesi,100
Bernd Bohnet,24
Vlasios Doumpiotis,0
Azam Amin Abshouri,0
