,author,papers,declared
927,1249414879,10,102
928,1249574982,2,41
929,1249652091,2,199
930,1249721188,2,108
931,1249736235,2,6
932,1249820702,1,6
933,1249923640,1,10
934,1250029108,2,21
935,125011739,1,91
936,1250214883,1,14
937,1250241702,1,1
938,1250463869,2,9
939,1250512064,1,59
940,125059131,1,6
941,1250714048,4,8
942,1250786,10,27
943,1250862740,1,36
944,1251069865,1,18
945,1251093988,3,10
946,1251299226,1,9
947,125133054,1,14
948,1251426306,1,33
949,1251889432,2,13
950,1252112997,6,15
951,1252193152,3,27
952,1252396326,2,43
953,125248002,4,80
954,125273320,13,76
955,1252866211,1,6
956,12531350,1,33
957,1253166087,1,35
958,1253287827,7,35
959,1253354450,5,60
960,1253378448,1,16
961,1253426111,17,161
962,125354079,1,126
963,1253744446,17,109
964,1253847257,5,40
965,125394314,24,443
966,1253991140,1,1
967,1254028283,1,7
968,125409450,2,58
969,125440414,8,66
970,1254575642,1,4
971,1254611829,2,11
972,1254631063,4,31
973,1254682425,1,13
974,125495501,3,259
975,1254974724,1,4
976,1255055516,17,41
977,1255332847,2,11
978,1255825317,1,5
979,125590419,32,275
980,1256245359,9,46
981,1256560114,1,35
982,1256561705,4,440
983,1256589035,3,32
984,1256664030,4,131
985,1256730995,1,34
986,1257087734,9,166
987,125719009,1,7
988,1257197408,2,9
989,1257744546,3,4
990,1257958073,2,16
991,125802956,2,50
992,1258037689,2,32
993,1258062671,2,50
994,125827633,1,46
995,1258288690,1,4
996,1258570511,1,40
997,125870169,8,18
998,1258727642,2,4
999,1258859388,1,1
1000,125896300,7,250
1001,1258997902,1,74
1002,1259251873,23,77
1003,125940650,14,167
1004,125943900,1,49
1005,1259442811,2,235
1006,1259518825,6,95
1007,1259720838,1,13
1008,1259858724,2,100
1009,1260078007,1,162
1010,126037460,8,124
1011,126062536,1,5
1012,1260688485,3,15
1013,1260895771,4,84
1014,1260948134,2,14
1015,1260955781,3,4
1016,1260992435,6,20
1017,1261192326,6,26
1018,126121859,3,5
1019,1261240490,6,68
1020,1261247282,1,34
1021,126132393,1,34
1022,1261590474,10,34
1023,126199690,5,16
1024,126204239,1,398
1025,1262135359,1,21
1026,1262146398,1,3
1027,1262250667,4,18
1028,126231427,1,16
1029,1262715493,2,75
1030,126276514,1,46
1031,1262843386,4,18
1032,1262940968,1,18
1033,1263047910,1,42
1034,1263076414,12,66
1035,12630806,3,39
1036,1263969295,1,10
1037,1263988,1,20
1038,126405692,2,10
1039,126417355,28,445
1040,1264324560,1,27
1041,1264356972,8,17
1042,1264413446,1,15
1043,1265038253,1,23
1044,1265078650,2,15
1045,126515232,1,3
1046,126521001,2,38
1047,126526894,1,20
1048,1265397017,1,4
1049,126541761,2,17
1050,1265418121,3,5
1051,126548514,2,4
1052,1265526019,3,58
1053,126552625,5,18
1054,1265638936,4,10
1055,126585188,9,18
1056,1266121872,1,11
1057,1266160811,1,10
1058,1266249655,1,38
1059,1266279873,1,23
1060,1266861696,1,11
1061,1266997330,10,38
1062,1267068167,1,17
1063,1267219816,16,37
1064,1267241080,1,149
1065,1267276214,9,41
1066,1267612157,3,72
1067,1267785230,2,26
1068,126786525,2,30
1069,1267912761,14,92
1070,1268247390,2,30
1071,1268254517,5,177
1072,1268308319,1,4
1073,1268323896,4,106
1074,1268354611,3,15
1075,1268514819,1,6
1076,1268677781,21,72
1077,1268727595,1,14
1078,1268846040,1,11
1079,1269059575,1,15
1080,1269095471,1,42
1081,1269120175,1,76
1082,1269168871,2,2
1083,1269340910,10,30
1084,1269344208,2,70
1085,1269772595,1,10
1086,1269793602,2,44
1087,1269825731,9,23
1088,1269859624,10,71
1089,1269862033,11,28
1090,1269867290,1,70
1091,1270209060,3,283
1092,127037394,27,303
1093,1270708332,3,18
1094,1270999205,1,19
1095,127122249,2,5
1096,1271418785,2,55
1097,1271484699,19,437
1098,1271505854,3,20
1099,1271909884,3,55
1100,1272158750,1,65
1101,1272213588,1,12
1102,1272749583,5,57
1103,1272851299,2,17
1104,1272889047,1,10
1105,1272946479,1,32
1106,1273085590,1,9
1107,1273230838,3,314
1108,1273486391,2,13
