,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
59,deconvolution,0.5,0.5,1.0,1.0,0.085,0.192,0.337,0.657,0.6,0.3,0.333,0.25,0.2,0.233,0.229,0.2,0.2,0.24,0.8,0.7,0.667,0.5,0.4,0.433,0.457,0.45,0.489,0.54
60,Latent Dirichlet allocation,1.0,1.0,1.0,1.0,0.401,0.716,0.636,0.866,0.8,0.8,0.8,0.6,0.56,0.5,0.571,0.55,0.556,0.58,1.0,0.9,0.933,0.85,0.8,0.7,0.743,0.7,0.733,0.76
61,Euclidian distance,0.0,0.0,0.2,0.2,0.0,0.0,0.192,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.467,0.6,0.52,0.5,0.514,0.475,0.422,0.38
62,web service,1.0,1.0,1.0,1.0,0.515,0.79,0.853,1.0,0.8,0.9,0.733,0.7,0.76,0.767,0.686,0.675,0.689,0.68,1.0,1.0,0.933,0.95,0.96,0.967,0.914,0.9,0.911,0.9
63,multi-task learning,1.0,1.0,1.0,1.0,0.525,0.9,0.525,0.9,1.0,0.9,0.733,0.8,0.72,0.733,0.629,0.625,0.667,0.66,1.0,0.9,0.733,0.8,0.72,0.733,0.629,0.625,0.667,0.66
64,Linear separability,0.0,0.0,1.0,1.0,0.0,0.0,0.552,0.578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.7,0.733,0.7,0.68,0.733,0.714,0.75,0.756,0.74
65,OWL-S,0.333,0.333,0.333,0.333,0.017,0.073,0.017,0.073,0.4,0.2,0.133,0.1,0.12,0.1,0.086,0.075,0.067,0.06,0.4,0.2,0.133,0.1,0.12,0.1,0.086,0.075,0.067,0.06
66,Wireless sensor network,1.0,1.0,1.0,1.0,0.733,0.9,0.777,0.9,1.0,0.9,0.867,0.9,0.92,0.9,0.8,0.825,0.844,0.82,1.0,0.9,0.933,0.95,0.96,0.933,0.829,0.85,0.867,0.84
67,Semantic role labeling,1.0,1.0,1.0,1.0,0.432,0.9,0.432,0.9,1.0,0.9,0.733,0.7,0.6,0.567,0.6,0.6,0.556,0.58,1.0,0.9,0.733,0.7,0.6,0.567,0.6,0.6,0.556,0.58
68,Continuous-time Markov chain,0.111,0.111,1.0,1.0,0.018,0.011,0.872,1.0,0.0,0.1,0.2,0.15,0.12,0.133,0.114,0.15,0.133,0.12,1.0,1.0,0.933,0.95,0.96,0.9,0.914,0.925,0.933,0.92
