,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
87,Knapsack problem,0.111,0.111,0.111,0.111,0.002,0.011,0.002,0.011,0.0,0.1,0.067,0.05,0.04,0.033,0.029,0.025,0.022,0.02,0.0,0.1,0.067,0.05,0.04,0.033,0.029,0.025,0.022,0.02
88,Linear algebra,0.5,0.5,1.0,1.0,0.079,0.236,0.499,0.716,0.6,0.4,0.333,0.3,0.24,0.2,0.171,0.2,0.2,0.2,0.8,0.8,0.867,0.75,0.68,0.667,0.686,0.65,0.644,0.66
89,batch processing,0.111,0.111,0.111,0.111,0.008,0.011,0.008,0.011,0.0,0.1,0.067,0.05,0.08,0.067,0.086,0.075,0.089,0.08,0.0,0.1,0.067,0.05,0.08,0.067,0.086,0.075,0.089,0.08
90,rule induction,0.0,0.0,0.25,0.25,0.0,0.0,0.005,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.067,0.05,0.04,0.033,0.029,0.025,0.022,0.02
91,Uncertainty quantification,0.032,0.0,1.0,1.0,0.001,0.0,0.176,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.025,0.022,0.02,0.8,0.5,0.467,0.35,0.36,0.333,0.314,0.325,0.333,0.34
92,Computer architecture,0.5,0.5,1.0,1.0,0.123,0.27,0.727,0.835,0.4,0.5,0.333,0.35,0.32,0.367,0.343,0.3,0.289,0.3,0.8,0.9,0.8,0.85,0.88,0.867,0.857,0.825,0.822,0.84
93,Best-first search,0.111,0.111,0.111,0.111,0.004,0.011,0.004,0.011,0.0,0.1,0.067,0.05,0.04,0.067,0.057,0.05,0.044,0.04,0.0,0.1,0.067,0.05,0.04,0.067,0.057,0.05,0.044,0.04
94,Gaussian random field,0.0,0.0,1.0,1.0,0.0,0.0,0.089,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.2,0.2,0.32,0.267,0.257,0.25,0.222,0.22
95,Support vector machine,1.0,1.0,1.0,1.0,0.421,0.549,0.421,0.549,0.8,0.6,0.6,0.6,0.6,0.633,0.629,0.625,0.6,0.62,0.8,0.6,0.6,0.6,0.6,0.633,0.629,0.625,0.6,0.62
96,ontology language,0.0,0.0,0.5,0.5,0.0,0.0,0.09,0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.32,0.267,0.229,0.225,0.244,0.24
97,machine translation,0.083,0.0,1.0,1.0,0.011,0.0,0.59,0.543,0.0,0.0,0.2,0.15,0.12,0.1,0.086,0.1,0.089,0.08,0.6,0.7,0.733,0.7,0.76,0.767,0.771,0.75,0.756,0.78
98,middleware,1.0,1.0,1.0,1.0,0.04,0.12,0.049,0.12,0.2,0.2,0.267,0.25,0.2,0.167,0.143,0.125,0.111,0.1,0.2,0.2,0.333,0.3,0.24,0.2,0.171,0.15,0.133,0.12
99,Newton's method,0.029,0.0,0.029,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.025,0.044,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.025,0.044,0.04
